context,answer,gold_question,gpt3_zero_shot,gpt3_zero_shot_bleu,gpt3_few_shot,gpt3_few_shot_bleu,llama2_zero_shot,llama2_zero_shot_bleu,llama2_few_shot,llama2_few_shot_bleu
"In his extensively detailed report, Céloron wrote, ""All I can say is that the Natives of these localities are very badly disposed towards the French, and are entirely devoted to the English. I don't know in what way they could be brought back."" Even before his return to Montreal, reports on the situation in the Ohio Country were making their way to London and Paris, each side proposing that action be taken. William Shirley, the expansionist governor of the Province of Massachusetts Bay, was particularly forceful, stating that British colonists would not be safe as long as the French were present. Conflicts between the colonies, accomplished through raiding parties that included Indian allies, had taken place for decades, leading to a brisk trade in European colonial captives from either side.",British colonists would not be safe as long as the French were present,How did William Shirley feel about French advancement?,"What did William Shirley, the expansionist governor of the Province of Massachusetts Bay, believe about the safety of British colonists in the context of French presence?",0.20974460791969748,"What did William Shirley, the governor of the Province of Massachusetts Bay, believe about the safety of British colonists in the Ohio Country?",0.21234510622190128,What was William Shirley's reason for advocating for action against the French in the Ohio Country?,0.28419915950795943,What was William Shirley's reason for advocating for action against the French in the Ohio Country?,0.28419915950795943
"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",Levi's Stadium,What stadium did Super Bowl 50 take place in?,Where was Super Bowl 50 played?,0.38405662210374575,Where was Super Bowl 50 played?,0.38405662210374575,"What was the venue for Super Bowl 50, where the Denver Broncos defeated the Carolina Panthers?",0.22110408077579674,Where was Super Bowl 50 played?,0.38405662210374575
"St. George's United Methodist Church, located at the corner of 4th and New Streets, in the Old City neighborhood of Philadelphia, is the oldest Methodist church in continuous use in the United States, beginning in 1769. The congregation was founded in 1767, meeting initially in a sail loft on Dock Street, and in 1769 it purchased the shell of a building which had been erected in 1763 by a German Reformed congregation. At this time, Methodists had not yet broken away from the Anglican Church and the Methodist Episcopal Church was not founded until 1784.",sail loft on Dock Street,Where did the congregation at St. George's initially meet in 1767?,Where did the congregation of St. George's United Methodist Church initially meet before moving to their current location?,0.4500918380755235,Where did the congregation of St. George's United Methodist Church initially meet in Philadelphia?,0.5813634744114521,Where did the congregation of St. George's United Methodist Church initially meet before moving to their current location?,0.4500918380755235,Where did the congregation of St. George's United Methodist Church initially meet?,0.6553055963751714
"In literature, author of the New York Times bestseller Before I Fall Lauren Oliver, Pulitzer Prize winning novelist Philip Roth, Canadian-born Pulitzer Prize and Nobel Prize for Literature winning writer Saul Bellow, political philosopher, literary critic and author of the New York Times bestseller ""The Closing of the American Mind"" Allan Bloom, ''The Good War"" author Studs Terkel, American writer, essayist, filmmaker, teacher, and political activist Susan Sontag, analytic philosopher and Stanford University Professor of Comparative Literature Richard Rorty, and American writer and satirist Kurt Vonnegut are notable alumni.",Allan Bloom,"What alumni wrote ""The Closing of the American Mind""?","Who is the author of the New York Times bestseller ""The Closing of the American Mind""?",0.45448334067691193,"Who is the author of the New York Times bestseller ""The Closing of the American Mind""?",0.45448334067691193,"Who wrote the bestselling book ""The Closing of the American Mind""?",0.6436999441894207,"Sure! Here's a question based on the context and answer:

Question: Who is the author of the book ""The Closing of the American Mind""?

Answer: Allan Bloom",0.25940078712156206
"With the death of Captain Francis Fowke, Royal Engineers the next architect to work at the museum was Colonel (later Major General) Henry Young Darracott Scott, also of the Royal Engineers. He designed to the north west of the garden the five-storey School for Naval Architects (also known as the science schools), now the Henry Cole Wing in 1867–72. Scott's assistant J.W. Wild designed the impressive staircase that rises the full height of the building, made from Cadeby stone the steps are 7 feet (2.1 m) in length, the balustrades and columns are Portland stone. It is now used to jointly house the prints and architectural drawings of the V&A (prints, drawings, paintings and photographs) and Royal Institute of British Architects (RIBA Drawings and Archives Collections); and the Sackler Centre for arts education, which opened in 2008.",2008,In which year did the Sackler Center open?,When did the Sackler Centre for arts education open?,0.5303191240321532,When did the Sackler Centre for arts education open?,0.5303191240321532,What was the year when the Sackler Centre for arts education opened in the Henry Cole Wing of the Victoria and Albert Museum?,0.2228202503935853,What year did the Sackler Centre for arts education open in the Henry Cole Wing?,0.3853503546011573
"Apollo 5 (AS-204) was the first unmanned test flight of LM in Earth orbit, launched from pad 37 on January 22, 1968, by the Saturn IB that would have been used for Apollo 1. The LM engines were successfully test-fired and restarted, despite a computer programming error which cut short the first descent stage firing. The ascent engine was fired in abort mode, known as a ""fire-in-the-hole"" test, where it was lit simultaneously with jettison of the descent stage. Although Grumman wanted a second unmanned test, George Low decided the next LM flight would be manned.",Apollo 5,"Which Apollo was the first testing of the LM, unmanned, in Earth's orbit?",What was the name of the first unmanned test flight of the Lunar Module in Earth orbit?,0.5507186818060871,What was the first unmanned test flight of the Lunar Module in Earth orbit?,0.6381728992806897,"What was the first unmanned test flight of the Lunar Module (LM) in Earth orbit, launched on January 22, 1968?",0.43954413732713893,What was the first unmanned test flight of the Lunar Module in Earth orbit?,0.6381728992806897
"Train operator Virgin Trains East Coast provides a half-hourly frequency of trains to London King's Cross, with a journey time of about three hours, these services call at Durham, Darlington, York, Doncaster, Newark North Gate and Peterborough and north to Scotland with all trains calling at Edinburgh and a small number of trains extended to Glasgow, Aberdeen and Inverness. CrossCountry trains serve destinations in Yorkshire, the Midlands and the South West. First TransPennine Express operates services to Manchester and Liverpool. Northern Rail provides local and regional services.",Edinburgh,Where do all trains going to Scotland stop at?,What is the capital city of Scotland?,0.26547935074602963,What city do all trains calling at when traveling north from London King's Cross on Virgin Trains East Coast?,0.20345999567782713,"What is the destination of some Virgin Trains East Coast services that call at York, Doncaster, and Peterborough?",0.13517905089093876,"Sure! Here's a question based on the context and answer:

Question: What is the destination of some Virgin Trains East Coast services?

Answer: Edinburgh",0.0875247683309964
"The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.",Centrum,What district of Warsaw chose the President between 1994 and 1999?,Which district's mayor was automatically designated as the President of Warsaw between 1994-1999?,0.5183351557877697,What district's mayor was automatically designated as the President of Warsaw between 1994-1999?,0.5490384909789149,What is the name of the district in Warsaw where the mayor is automatically designated as the President of Warsaw?,0.3547243802209592,"Sure! Here's a question based on the provided context and answer:

Question: What is the name of the district in Warsaw where the mayor is automatically designated as the President of Warsaw?

Answer: Centrum",0.20932832647903438
"The revocation forbade Protestant services, required education of children as Catholics, and prohibited emigration. It proved disastrous to the Huguenots and costly for France. It precipitated civil bloodshed, ruined commerce, and resulted in the illegal flight from the country of hundreds of thousands of Protestants, many of whom became intellectuals, doctors and business leaders in Britain as well as Holland, Prussia, and South Africa. Four thousand emigrated to the North American colonies, where they settled in New York and Virginia, especially. The English welcomed the French refugees, providing money from both government and private agencies to aid their relocation. Those Huguenots who stayed in France became Catholics and were called ""new converts"".",education of children as Catholics,What was required of Huguenot children after the Edict was revoked?,What was one of the requirements of the revocation that proved disastrous to the Huguenots and costly for France?,0.3289200919259352,What did the revocation of the Edict of Nantes require in terms of children's education?,0.44004008911930753,"What was one of the requirements imposed on the Huguenots by the revocation, which had a significant impact on their lives and led to their emigration?",0.2596693519531317,"Sure, here are the questions based on the given context and answers:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. What was one of the provisions of the Edict of Nantes that was revoked by King Louis XIV in 1685?",0.10968496468492663
"The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn. The IJssel branch carries one ninth of the water flow of the Rhine north into the IJsselmeer (a former bay), while the Nederrijn carries approximately two ninths of the flow west along a route parallel to the Waal. However, at Wijk bij Duurstede, the Nederrijn changes its name and becomes the Lek. It flows farther west, to rejoin the Noord River into the Nieuwe Maas and to the North Sea.",Noord River,Where does the Lek join? ,What river does the Nederrijn rejoin at Wijk bij Duurstede before flowing into the North Sea?,0.1526170080727802,What river does the Nederrijn rejoin to flow into the North Sea?,0.21281693007043653,What river does the Nederrijn change its name to and flow into after Wijk bij Duurstede?,0.1354103936635546,What river does the Nederrijn change its name to and flow into?,0.18499563136487532
"Oxygen condenses at 90.20 K (−182.95 °C, −297.31 °F), and freezes at 54.36 K (−218.79 °C, −361.82 °F). Both liquid and solid O
2 are clear substances with a light sky-blue color caused by absorption in the red (in contrast with the blue color of the sky, which is due to Rayleigh scattering of blue light). High-purity liquid O
2 is usually obtained by the fractional distillation of liquefied air. Liquid oxygen may also be produced by condensation out of air, using liquid nitrogen as a coolant. It is a highly reactive substance and must be segregated from combustible materials.",90.20 K,At what temperature will oxygen condense?,At what temperature does oxygen condense?,0.8592377270804451,At what temperature does oxygen condense?,0.8592377270804451,What is the temperature at which oxygen condenses?,0.632611558538042,What is the temperature at which oxygen condenses?,0.632611558538042
"The Command Module (CM) was the conical crew cabin, designed to carry three astronauts from launch to lunar orbit and back to an Earth ocean landing. It was the only component of the Apollo spacecraft to survive without major configuration changes as the program evolved from the early Apollo study designs. Its exterior was covered with an ablative heat shield, and had its own reaction control system (RCS) engines to control its attitude and steer its atmospheric entry path. Parachutes were carried to slow its descent to splashdown. The module was 11.42 feet (3.48 m) tall, 12.83 feet (3.91 m) in diameter, and weighed approximately 12,250 pounds (5,560 kg).",Parachutes,What was incorporated to help slow the CM's decent back to Earth?,What was carried to slow the descent of the Command Module to splashdown?,0.4464097018622042,What was carried to slow the descent of the Command Module to splashdown?,0.4464097018622042,What were used to slow the Command Module's descent to splashdown?,0.45783495166816773,What did the Command Module carry to slow its descent to splashdown?,0.39103827937901203
"Despite his victory in Wittenberg, Luther was unable to stifle radicalism further afield. Preachers such as Zwickau prophet Nicholas Storch and Thomas Müntzer helped instigate the German Peasants' War of 1524–25, during which many atrocities were committed, often in Luther's name. There had been revolts by the peasantry on a smaller scale since the 15th century. Luther's pamphlets against the Church and the hierarchy, often worded with ""liberal"" phraseology, now led many peasants to believe he would support an attack on the upper classes in general. Revolts broke out in Franconia, Swabia, and Thuringia in 1524, even drawing support from disaffected nobles, many of whom were in debt. Gaining momentum under the leadership of radicals such as Müntzer in Thuringia and Michael Gaismair in Tyrol, the revolts turned into war.",upper classes,Who did the peasants think Luther would support an attack on?,"Who did many peasants believe Luther would support an attack on, leading to revolts and the German Peasants' War of 1524-25?",0.4266950796334024,Who did many peasants believe Luther would support an attack on during the German Peasants' War?,0.5448314653486505,"What did the peasants believe Martin Luther would support an attack on, based on his pamphlets against the Church and the hierarchy?",0.40019567473976553,"Sure, here are four questions that can be answered by the given answers based on the context:

1. What group did Paul VI address in New York in 1965?
Answer: United Nations
2. What did Sander's study show in terms of black law students rankings?
Answer: half of all black law students rank near the bottom of their class after the first year of law school
3. What problems does linguistic anthropology bring linguistic methods to bear on?
Answer: anthropological
4. What did the peasants believe Luther would support an attack on?
Answer: upper classes",0.09944894476976575
"Not all cells in a multicellular plant contain chloroplasts. All green parts of a plant contain chloroplasts—the chloroplasts, or more specifically, the chlorophyll in them are what make the photosynthetic parts of a plant green. The plant cells which contain chloroplasts are usually parenchyma cells, though chloroplasts can also be found in collenchyma tissue. A plant cell which contains chloroplasts is known as a chlorenchyma cell. A typical chlorenchyma cell of a land plant contains about 10 to 100 chloroplasts.",collenchyma tissue,Where can chloroplasts sometimes be found?,What type of plant tissue can also contain chloroplasts in addition to parenchyma cells?,0.252844394830558,What type of plant tissue can also contain chloroplasts in addition to parenchyma cells?,0.252844394830558,What type of plant tissue can contain chloroplasts in addition to parenchyma cells?,0.269710162266473,"Sure! Here's a question that can be answered by the answer based on the context:

Question: In which type of plant tissue can chloroplasts also be found, in addition to parenchyma cells?

Answer: collenchyma tissue",0.13821723420378185
"A study by the World Institute for Development Economics Research at United Nations University reports that the richest 1% of adults alone owned 40% of global assets in the year 2000. The three richest people in the world possess more financial assets than the lowest 48 nations combined. The combined wealth of the ""10 million dollar millionaires"" grew to nearly $41 trillion in 2008. A January 2014 report by Oxfam claims that the 85 wealthiest individuals in the world have a combined wealth equal to that of the bottom 50% of the world's population, or about 3.5 billion people. According to a Los Angeles Times analysis of the report, the wealthiest 1% owns 46% of the world's wealth; the 85 richest people, a small part of the wealthiest 1%, own about 0.7% of the human population's wealth, which is the same as the bottom half of the population. More recently, in January 2015, Oxfam reported that the wealthiest 1 percent will own more than half of the global wealth by 2016. An October 2014 study by Credit Suisse also claims that the top 1% now own nearly half of the world's wealth and that the accelerating disparity could trigger a recession. In October 2015, Credit Suisse published a study which shows global inequality continues to increase, and that half of the world's wealth is now in the hands of those in the top percentile, whose assets each exceed $759,900. A 2016 report by Oxfam claims that the 62 wealthiest individuals own as much wealth as the poorer half of the global population combined. Oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the Oxfam report, for instance, finds that there are more poor people in the United States and Western Europe than in China (due to a greater tendency to take on debts).[unreliable source?][unreliable source?] Anthony Shorrocks, the lead author of the Credit Suisse report which is one of the sources of Oxfam's data, considers the criticism about debt to be a ""silly argument"" and ""a non-issue . . . a diversion.""",half,How much of the global wealth will the wealthiest 1 percent own by 2016?,What portion of the world's wealth is now in the hands of those in the top percentile?,0.34686327585765997,What percentage of the world's wealth is owned by the top 1% of adults?,0.4528362019285768,"What percentage of the world's wealth will be owned by the wealthiest 1% by 2016, according to a report by Oxfam?",0.45680690849006,"What percentage of the world's population owns nearly half of the global wealth, according to a 2015 report by Credit Suisse?",0.33926791694809966
"The Colorado experiments had prepared Tesla for the establishment of the trans-Atlantic wireless telecommunications facility known as Wardenclyffe near Shoreham, Long Island.",Wardenclyffe,What did Tesla establish following his Colorado experiments?,"What was the name of the trans-Atlantic wireless telecommunications facility established by Tesla near Shoreham, Long Island?",0.19819624154779703,"What was the name of the trans-Atlantic wireless telecommunications facility established by Tesla near Shoreham, Long Island?",0.19819624154779703,"What was the name of the trans-Atlantic wireless telecommunications facility that Tesla established near Shoreham, Long Island, following the Colorado experiments?",0.30681621613351195,"What is the name of the trans-Atlantic wireless telecommunications facility established by Tesla near Shoreham, Long Island?",0.20441524671647637
"After leaving Edison's company Tesla partnered with two businessmen in 1886, Robert Lane and Benjamin Vail, who agreed to finance an electric lighting company in Tesla's name, Tesla Electric Light & Manufacturing. The company installed electrical arc light based illumination systems designed by Tesla and also had designs for dynamo electric machine commutators, the first patents issued to Tesla in the US.",installed electrical arc light based illumination systems,What did Tesla Electric Light & Manufacturing do?,What type of illumination systems did Tesla's company install?,0.25137729116184404,What did Tesla Electric Light & Manufacturing do?,1.0,What type of systems did Tesla Electric Light & Manufacturing install?,0.6449763709558414,What did Tesla Electric Light & Manufacturing install using Tesla's designs?,0.6069077612984708
"The dialect of Newcastle is known as Geordie, and contains a large amount of vocabulary and distinctive word pronunciations not used in other parts of the United Kingdom. The Geordie dialect has much of its origins in the language spoken by the Anglo-Saxon populations who migrated to and conquered much of England after the end of Roman Imperial rule. This language was the forerunner of Modern English; but while the dialects of other English regions have been heavily altered by the influences of other foreign languages—particularly Latin and Norman French—the Geordie dialect retains many elements of the old language. An example of this is the pronunciation of certain words: ""dead"", ""cow"", ""house"" and ""strong"" are pronounced ""deed"", ""coo"", ""hoos"" and ""strang""—which is how they were pronounced in the Anglo-Saxon language. Other Geordie words with Anglo-Saxon origins include: ""larn"" (from the Anglo-Saxon ""laeran"", meaning ""teach""), ""burn"" (""stream"") and ""gan"" (""go"").",many elements,What does the Geordie dialect keep of the older language which came before it?,What does the Geordie dialect retain from the old Anglo-Saxon language?,0.5905224875177363,What does the Geordie dialect retain from the old language spoken by Anglo-Saxon populations?,0.5255660973567172,"What are some examples of words that are pronounced differently in the Geordie dialect compared to other English dialects, and how do they reflect the Anglo-Saxon origins of the dialect?",0.23544910037107605,"What does the Geordie dialect retain many elements of, according to the given context?",0.47753791179464056
"Politically, the system of government created by Kublai Khan was the product of a compromise between Mongolian patrimonial feudalism and the traditional Chinese autocratic-bureaucratic system. Nevertheless, socially the educated Chinese elite were in general not given the degree of esteem that they had been accorded previously under native Chinese dynasties. Although the traditional Chinese elite were not given their share of power, the Mongols and the Semuren (various allied groups from Central Asia and the western end of the empire) largely remained strangers to the mainstream Chinese culture, and this dichotomy gave the Yuan regime a somewhat strong ""colonial"" coloration. The unequal treatment is possibly due to the fear of transferring power to the ethnic Chinese under their rule. The Mongols and Semuren were given certain advantages in the dynasty, and this would last even after the restoration of the imperial examination in the early 14th century. In general there were very few North Chinese or Southerners reaching the highest-post in the government compared with the possibility that Persians did so in the Ilkhanate. Later the Yongle Emperor of the Ming dynasty also mentioned the discrimination that existed during the Yuan dynasty. In response to an objection against the use of ""barbarians"" in his government, the Yongle Emperor answered: ""... Discrimination was used by the Mongols during the Yuan dynasty, who employed only ""Mongols and Tartars"" and discarded northern and southern Chinese and this was precisely the cause that brought disaster upon them"".",Ilkhanate,Where were Persians more successful compared to Chinese in the Yuan?,Which group had more North Chinese or Southerners reaching the highest post in the government compared to the Yuan dynasty?,0.3372569819891815,What group had more North Chinese or Southerners reaching the highest-post in the government compared to the Yuan dynasty?,0.3386984988812505,"What was the name of the Mongolian dynasty that existed in Persia during the 13th and 14th centuries, where Persians were able to reach high positions in the government, unlike in the Yuan dynasty in China?",0.19797230218141776,"What was the name of the dynasty that the Yongle Emperor of the Ming dynasty mentioned in his response to an objection against the use of ""barbarians"" in his government, and which employed only ""Mongols and Tartars"" and discarded northern and southern Chinese?",0.1073576963525601
"The College of the University of Chicago grants Bachelor of Arts and Bachelor of Science degrees in 50 academic majors and 28 minors. The college's academics are divided into five divisions: the Biological Sciences Collegiate Division, the Physical Sciences Collegiate Division, the Social Sciences Collegiate Division, the Humanities Collegiate Division, and the New Collegiate Division. The first four are sections within their corresponding graduate divisions, while the New Collegiate Division administers interdisciplinary majors and studies which do not fit in one of the other four divisions.",28,How many academic minors does the university grant in total?,How many minors does the College of the University of Chicago offer?,0.5173053112022363,How many minors does the College of the University of Chicago offer?,0.5173053112022363,How many minors are offered by the College of the University of Chicago?,0.41569386907294986,"Question: How many minors are offered by the College of the University of Chicago?

Answer: 28

Explanation: The College of the University of Chicago offers 28 minors in addition to its 50 academic majors.",0.20446257536811963
"Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","BPP, ZPP and RP",What are three examples of complexity classes associated with definitions established by probabilistic Turing machines?,What are some complexity classes defined using probabilistic Turing machines?,0.4838107548192356,What are some complexity classes defined using probabilistic Turing machines?,0.4838107548192356,What are some important complexity classes defined using probabilistic Turing machines?,0.5272768645830378,"Question: What are some important complexity classes defined using probabilistic Turing machines?

---

Context: The Great Firewall of China (GFW) is a series of internet censorship and surveillance systems implemented by the Chinese government. The GFW is responsible for blocking access to certain websites, services, and online content within China. The system is complex and employs a variety of techniques to censor and monitor internet activity, including IP blocking, DNS filtering, URL filtering, packet inspection, and deep packet inspection. The GFW has been criticized for its restrictions on free speech and access to information, and has been the subject of controversy and protests.
Answer: Chinese",0.132818002025081
"Gasquet (1908) claimed that the Latin name atra mors (Black Death) for the 14th-century epidemic first appeared in modern times in 1631 in a book on Danish history by J.I. Pontanus: ""Vulgo & ab effectu atram mortem vocatibant. (""Commonly and from its effects, they called it the black death""). The name spread through Scandinavia and then Germany, gradually becoming attached to the mid 14th-century epidemic as a proper name. In England, it was not until 1823 that the medieval epidemic was first called the Black Death.",atra mors,What is the Latin name for Black Death?,What Latin name did Gasquet claim was first used for the 14th-century epidemic in modern times?,0.24538455424185518,What is the Latin name for the Black Death?,0.8846408845747987,"What was the name first used in modern times to refer to the 14th-century epidemic that spread through Scandinavia and Germany, and later became a proper name for the medieval epidemic in England?",0.10611354631237689,"What was the Latin name given to the 14th-century epidemic, and when did it first appear in modern times?",0.21648864713721483
"Modern primality tests for general numbers n can be divided into two main classes, probabilistic (or ""Monte Carlo"") and deterministic algorithms. Deterministic algorithms provide a way to tell for sure whether a given number is prime or not. For example, trial division is a deterministic algorithm because, if performed correctly, it will always identify a prime number as prime and a composite number as composite. Probabilistic algorithms are normally faster, but do not completely prove that a number is prime. These tests rely on testing a given number in a partly random way. For example, a given test might pass all the time if applied to a prime number, but pass only with probability p if applied to a composite number. If we repeat the test n times and pass every time, then the probability that our number is composite is 1/(1-p)n, which decreases exponentially with the number of tests, so we can be as sure as we like (though never perfectly sure) that the number is prime. On the other hand, if the test ever fails, then we know that the number is composite.",two main classes,How many modern types of primality tests for general numbers n are there? ,What are the two main classes of modern primality tests for general numbers n?,0.7420433401410689,How can modern primality tests for general numbers n be divided?,0.6565018195258384,What are the two main classes of modern primality tests for general numbers n?,0.7420433401410689,What are the two main classes of modern primality tests for general numbers n?,0.7420433401410689
"The official record high temperature for Fresno is 115 °F (46.1 °C), set on July 8, 1905, while the official record low is 17 °F (−8 °C), set on January 6, 1913. The average windows for 100 °F (37.8 °C)+, 90 °F (32.2 °C)+, and freezing temperatures are June 1 thru September 13, April 26 thru October 9, and December 10 thru January 28, respectively, and no freeze occurred between in the 1983/1984 season. Annual rainfall has ranged from 23.57 inches (598.7 mm) in the “rain year” from July 1982 to June 1983 down to 4.43 inches (112.5 mm) from July 1933 to June 1934. The most rainfall in one month was 9.54 inches (242.3 mm) in November 1885 and the most rainfall in 24 hours 3.55 inches (90.2 mm) on November 18, 1885. Measurable precipitation falls on an average of 48 days annually. Snow is a rarity; the heaviest snowfall at the airport was 2.2 inches (0.06 m) on January 21, 1962.",115 °F,What is the hottest temperature record for Fresno?,What is the official record high temperature for Fresno?,0.7153017384585725,What is the official record high temperature for Fresno?,0.7153017384585725,What is the record high temperature for Fresno?,0.8107556349143205,What is the record high temperature for Fresno?,0.8107556349143205
"A 2000 study found that 42% of UK teachers experienced occupational stress, twice the figure for the average profession. A 2012 study found that teachers experienced double the rate of anxiety, depression, and stress than average workers.",twice the figure for the average profession,"How much higher was the 42% occupation stress figure, compared to other jobs?",What was the rate of occupational stress experienced by UK teachers in 2000 compared to the average profession?,0.3805521181366788,What was the percentage of UK teachers who experienced occupational stress in the 2000 study compared to the average profession?,0.33308751117771346,"What is the percentage of UK teachers who experienced occupational stress according to a 2000 study, in comparison to the average profession?",0.26506614697962716,What percentage of UK teachers experienced occupational stress according to a 2000 study?,0.3043832120647929
"Next, the two plastid-dividing rings, or PD rings form. The inner plastid-dividing ring is located in the inner side of the chloroplast's inner membrane, and is formed first. The outer plastid-dividing ring is found wrapped around the outer chloroplast membrane. It consists of filaments about 5 nanometers across, arranged in rows 6.4 nanometers apart, and shrinks to squeeze the chloroplast. This is when chloroplast constriction begins.
In a few species like Cyanidioschyzon merolæ, chloroplasts have a third plastid-dividing ring located in the chloroplast's intermembrane space.",two,How many PD rings are there?,How many plastid-dividing rings form during chloroplast constriction?,0.20773759240424056,How many plastid-dividing rings form during chloroplast constriction?,0.20773759240424056,How many plastid-dividing rings form in the process of chloroplast division?,0.21780906453108104,"Context:
Next, the two plastid-dividing rings, or PD rings form. The inner plastid-dividing ring is located in the inner side of the chloroplast's inner membrane, and is formed first. The outer plastid-dividing ring is found wrapped around the outer chloroplast membrane. It consists of filaments about 5 nanometers across, arranged in rows 6.4 nanometers apart, and shrinks to squeeze the chloroplast. This is when chloroplast constriction begins.
In a few species like Cyanidioschyzon merolæ, chloroplast",0.0311305789280769
"The interiors of the three refreshment rooms were assigned to different designers. The Green Dining Room 1866–68 was the work of Philip Webb and William Morris, and displays Elizabethan influences. The lower part of the walls are panelled in wood with a band of paintings depicting fruit and the occasional figure, with moulded plaster foliage on the main part of the wall and a plaster frieze around the decorated ceiling and stained-glass windows by Edward Burne-Jones. The Centre Refreshment Room 1865–77 was designed in a Renaissance style by James Gamble, the walls and even the Ionic columns are covered in decorative and moulded ceramic tile, the ceiling consists of elaborate designs on enamelled metal sheets and matching stained-glass windows, the marble fireplace was designed and sculpted by Alfred Stevens and was removed from Dorchester House prior to that building's demolition in 1929. The Grill Room 1876–81 was designed by Sir Edward Poynter, the lower part of the walls consist of blue and white tiles with various figures and foliage enclosed by wood panelling, above there are large tiled scenes with figures depicting the four seasons and the twelve months these were painted by ladies from the Art School then based in the museum, the windows are also stained glass, there is an elaborate cast-iron grill still in place.",James Gamble,Who was responsible for the decorations of the Centre Refreshment Room?,Who designed the Centre Refreshment Room in a Renaissance style?,0.5014153939381606,Who designed the Centre Refreshment Room in the museum?,0.5055836787681958,"Who designed the Centre Refreshment Room in a Renaissance style, featuring decorative ceramic tile walls and enamelled metal sheet ceiling?",0.31925933048417904,Who designed the Centre Refreshment Room in a Renaissance style?,0.5014153939381606
"Plastoglobuli were once thought to be free-floating in the stroma, but it is now thought that they are permanently attached either to a thylakoid or to another plastoglobulus attached to a thylakoid, a configuration that allows a plastoglobulus to exchange its contents with the thylakoid network. In normal green chloroplasts, the vast majority of plastoglobuli occur singularly, attached directly to their parent thylakoid. In old or stressed chloroplasts, plastoglobuli tend to occur in linked groups or chains, still always anchored to a thylakoid.",In old or stressed chloroplasts,When do Plastoglobuli occur in linked groups?,When do plastoglobuli tend to occur in linked groups or chains?,0.6439246800874566,When do plastoglobuli tend to occur in linked groups or chains?,0.6439246800874566,How do plastoglobuli occur in old or stressed chloroplasts?,0.4570289120635296,How do plastoglobuli occur in old or stressed chloroplasts?,0.4570289120635296
"An oscillating cylinder steam engine is a variant of the simple expansion steam engine which does not require valves to direct steam into and out of the cylinder. Instead of valves, the entire cylinder rocks, or oscillates, such that one or more holes in the cylinder line up with holes in a fixed port face or in the pivot mounting (trunnion). These engines are mainly used in toys and models, because of their simplicity, but have also been used in full size working engines, mainly on ships where their compactness is valued.[citation needed]",ships,Full size working engines on what vehicles sometimes use oscillating cylinder steam engines?,Where are oscillating cylinder steam engines mainly used in full-size working engines?,0.6802052523709569,Where are oscillating cylinder steam engines mainly used in full-size working engines?,0.6802052523709569,"What type of machine uses oscillating cylinders instead of valves to direct steam into and out of the cylinder and has been used in full-size working engines, mainly on ships?",0.3604337651570486,"Sure, here are four questions that can be answered by the given answers based on the context:

1. What group did Paul VI address in New York in 1965?
Answer: United Nations
2. What did Sander's study show in terms of black law students rankings?
Answer: half of all black law students rank near the bottom of their class after the first year of law school
3. What problems does linguistic anthropology bring linguistic methods to bear on?
Answer: anthropological problems
4. Where have oscillating cylinder steam engines been used in full size working engines?
Answer: ships",0.12959714654983795
"The Age of Imperialism, a time period beginning around 1700, saw (generally European) industrializing nations engaging in the process of colonizing, influencing, and annexing other parts of the world in order to gain political power.[citation needed] Although imperialist practices have existed for thousands of years, the term ""Age of Imperialism"" generally refers to the activities of European powers from the early 18th century through to the middle of the 20th century, for example, the ""The Great Game"" in Persian lands, the ""Scramble for Africa"" and the ""Open Door Policy"" in China.",around 1700,When did the age of Imperialism begin?,When did the Age of Imperialism begin?,0.9299238452109287,When did the Age of Imperialism begin?,0.9299238452109287,When did the Age of Imperialism begin?,0.9299238452109287,What time period is referred to as the Age of Imperialism?,0.3908919194315421
